,0,1,2,3,4,5,6,7
0,528,309,12,21,122,348,178,305
1,320,515,8,26,199,411,179,305
2,33,46,57,27,42,92,8,10
3,26,11,13,130,0,165,9,56
4,109,226,6,5,668,299,112,144
5,244,221,15,81,200,1514,460,613
6,118,73,1,8,49,482,877,876
7,113,58,0,12,44,310,426,4940
