,0,1,2,3,4,5,6,7
0,400,284,25,41,166,366,196,345
1,339,441,32,31,208,378,222,312
2,49,42,80,63,38,29,7,7
3,51,26,51,199,2,24,6,51
4,168,205,3,3,674,284,93,139
5,297,278,8,5,190,1511,473,586
6,176,176,2,6,48,436,895,745
7,150,174,1,8,44,415,471,4640
