,0,1,2,3,4,5,6,7
0,409,246,11,32,148,408,153,416
1,227,423,11,31,206,460,195,410
2,51,35,74,61,26,52,7,9
3,33,4,11,235,0,62,6,59
4,84,158,0,0,780,289,98,160
5,157,162,0,9,176,1723,378,743
6,86,71,0,2,28,540,832,925
7,27,18,0,3,9,309,286,5251
