,0,1,2,3,4,5,6,7
0,120,150,255,379,426,309,151,33
1,73,141,282,485,487,346,135,14
2,13,33,73,106,63,19,8,0
3,4,4,33,114,148,71,33,3
4,5,37,155,295,531,401,130,15
5,9,38,143,480,1039,1184,419,36
6,1,3,31,137,566,1043,624,79
7,0,0,11,48,323,1473,2961,1087
