,0,1,2,3,4,5,6,7
0,11,40,137,358,636,446,172,23
1,3,46,223,415,651,468,144,13
2,0,1,12,71,110,98,23,0
3,0,0,0,4,93,212,95,6
4,2,11,103,483,614,275,75,6
5,0,2,65,412,1302,1145,395,27
6,0,0,8,177,895,1051,335,18
7,0,0,2,43,660,2537,2325,336
