,0,1,2,3,4,5,6,7
0,140,170,248,387,395,306,148,29
1,104,150,292,469,471,330,136,11
2,8,16,55,102,89,38,7,0
3,0,4,14,60,159,132,38,3
4,17,40,148,330,536,395,92,11
5,12,39,142,477,1043,1202,399,34
6,0,2,21,121,516,1037,701,86
7,0,0,6,49,309,1429,3022,1088
