,0,1,2,3,4,5,6,7
0,549,234,31,49,111,304,190,355
1,366,404,41,53,208,329,205,357
2,41,24,95,87,13,40,6,9
3,25,5,20,267,0,30,6,57
4,164,186,15,17,628,277,129,153
5,289,185,9,128,171,1383,483,700
6,155,48,3,58,28,376,935,881
7,73,28,3,48,14,262,322,5153
