,0,1,2,3,4,5,6,7
0,420,130,250,192,37,61,582,151
1,273,235,335,210,47,52,657,154
2,15,12,78,163,1,8,34,4
3,16,4,28,285,2,2,36,37
4,106,82,242,243,30,29,676,161
5,210,109,238,969,28,108,1337,349
6,127,43,45,358,11,29,1352,519
7,110,81,93,609,21,38,1450,3501
