,0,1,2,3,4,5,6,7
0,618,267,39,64,68,248,180,339
1,425,515,43,50,112,282,207,329
2,56,33,79,78,13,42,5,9
3,39,7,25,230,0,52,2,55
4,187,243,56,147,433,181,153,169
5,317,262,33,238,148,1270,442,638
6,165,68,10,166,40,337,827,871
7,88,46,10,149,18,285,243,5064
