,0,1,2,3,4,5,6,7
0,109,151,254,381,444,307,149,28
1,78,132,281,470,508,350,128,16
2,4,22,42,98,102,39,8,0
3,2,3,10,66,156,129,39,5
4,4,45,147,285,561,394,118,15
5,5,46,147,533,1084,1112,391,30
6,2,3,33,132,578,1031,626,79
7,0,0,8,68,336,1465,2967,1059
