,0,1,2,3,4,5,6,7
0,410,125,263,225,29,58,606,107
1,273,230,354,239,36,44,687,100
2,14,12,76,164,1,8,37,3
3,16,4,30,291,2,2,38,27
4,107,79,250,295,26,24,678,110
5,205,110,245,1064,26,92,1359,247
6,125,43,46,487,12,27,1391,353
7,117,85,98,1143,21,33,1662,2744
